#
# schema
#
	xsd:nonNegativeInteger	rdfs:subClassOf	owl:Thing
	rdf:Property	rdfs:subClassOf	owl:Thing
	<person>	rdfs:subClassOf	owl:Thing
	<location>	rdfs:subClassOf	owl:Thing
	<philosopher>	rdfs:subClassOf	<person>
	<scientist>	rdfs:subClassOf	<person>
	<wasBornIn>	rdfs:subPropertyOf	<subjectStartRelation>
#
	<influences>	rdf:type	rdf:Property
	<wasBornIn>	rdf:type	rdf:Property
	<subjectStartRelation>	rdf:type	rdf:Property
	<hasAge>	rdf:type	rdf:Property
#
	<influences>	rdfs:domain	<person>
	<influences>	rdfs:range	<person>
	<wasBornIn>	rdfs:domain	<person>
	<wasBornIn>	rdfs:range	<location>
	<hasAge>	rdfs:domain	<philosopher>
	<hasAge>	rdfs:range	xsd:nonNegativeInteger
	<subjectStartRelation>	rdfs:domain	owl:Thing
	<subjectStartRelation>	rdfs:range	owl:Thing
#
# data
#
	<Plato>	rdf:type	<philosopher>
	<Leibniz>	rdf:type	<philosopher>
	<Leibniz>	rdf:type	<scientist>
	<Goedel>	rdf:type	<scientist>
	<Athens>	rdf:type	<location>
	<Leipzig>	rdf:type	<location>
	<Brno>	rdf:type	<location>
	<Plato>	<wasBornIn>	<Athens>
	<Plato>	<influences>	<Leibniz>
	<Plato>	<hasAge>	"1000"^^xsd:nonNegativeInteger
	<Leibniz>	<wasBornIn>	<Leipzig>
	<Leibniz>	<influences>	<Goedel>
	<Leibniz>	<hasAge>	"500"^^xsd:nonNegativeInteger
	<Goedel>	<wasBornIn>	<Brno>
